hebrew_year,secular_years,days,clips,hours,words
5711,1950/51,12,218,1.18,11198
5712,1951/52,10,188,1.12,10066
5713,1952/53,1,2,0.01,76
5714,1953/54,17,360,2.04,17406
5715,1954/55,15,311,1.7,13364
5716,1955/56,25,500,2.76,21208
5717,1956/57,15,343,1.89,14215
5718,1957/58,17,386,2.21,16492
5719,1958/59,14,271,1.48,11476
5720,1959/60,20,403,2.27,17520
5721,1960/61,14,356,2.08,16947
5722,1961/62,25,598,3.17,26231
5723,1962/63,19,380,2.05,16536
5724,1963/64,19,394,2.13,16191
5725,1964/65,30,599,3.31,28125
5726,1965/66,14,345,1.8,15122
5727,1966/67,17,339,1.87,14485
5728,1967/68,20,436,2.5,19781
5729,1968/69,22,444,2.45,19708
5730,1969/70,17,290,1.56,11982
5731,1970/71,22,430,2.37,19150
5732,1971/72,24,481,2.65,20851
5733,1972/73,22,444,2.46,17978
5734,1973/74,35,691,3.72,27664
5735,1974/75,45,880,4.8,36856
5736,1975/76,56,1212,6.99,52617
5737,1976/77,38,842,4.67,33988
5738,1977/78,67,1406,7.86,56211
5739,1978/79,99,2121,11.81,87224
5740,1979/80,72,1602,8.99,64431
5741,1980/81,64,1361,7.57,53292
5742,1981/82,50,1141,6.45,45430
5743,1982/83,69,1606,8.89,61985
5744,1983/84,63,1397,7.68,54276
5745,1984/85,82,1713,9.39,68278
5746,1985/86,79,1541,8.53,62558
5747,1986/87,52,1085,6.03,44308
5748,1987/88,38,681,3.76,27570
5749,1988/89,46,880,5.02,36563
5750,1989/90,19,290,1.59,11587
5751,1990/91,14,271,1.56,11564
5752,1991/92,24,337,1.86,13296
None,unknown,32,637,3.56,26837
