run,host,wave,step,dev_wer_200clips,total_steps,status
turbo-frozen-lr1e5-4ep,SuperMac01,v1,500,0.3122,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,1000,0.2751,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,1500,0.2725,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,2000,0.2311,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,2500,0.222,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,3000,0.2341,3480,complete
turbo-frozen-lr1e5-4ep,SuperMac01,v1,3480,0.2277,3480,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,500,0.08924,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,1000,0.09465,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,1500,0.08568,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,2000,0.07634,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,2500,0.07523,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,3000,0.07093,3414,complete
turbo-full-pseudo-self-lr1e5-2ep,SuperMac01,v3,3414,0.06933,3414,complete
large-full-lr1e5-1ep,SuperMac02,v1,500,0.1179,870,complete
large-full-lr1e5-1ep,SuperMac02,v1,870,0.1025,870,complete
large-full-lr1e5-3ep,SuperMac02,v2,500,0.1163,2610,complete
large-full-lr1e5-3ep,SuperMac02,v2,1000,0.09613,2610,complete
large-full-lr1e5-3ep,SuperMac02,v2,1500,0.09109,2610,complete
large-full-lr1e5-3ep,SuperMac02,v2,2000,0.08261,2610,complete
large-full-lr1e5-3ep,SuperMac02,v2,2500,0.08162,2610,complete
large-full-lr1e5-3ep,SuperMac02,v2,2610,0.08089,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,500,0.1266,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,1000,0.08777,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,1500,0.08433,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,2000,0.07757,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,2500,0.07707,2610,complete
large-full-lr2e5-3ep,SuperMac03,v2,2610,0.07228,2610,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,500,0.07462,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,1000,0.07068,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,1500,0.08691,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,2000,0.07068,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,2500,0.07265,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,3000,0.0713,3416,complete
large-full-v4-cont-lr1e5-2ep,SuperMac03,v1,3416,0.07326,3416,complete
large-lora-r64-1ep,SuperMac03,v1,500,0.1254,870,complete
large-lora-r64-1ep,SuperMac03,v1,870,0.1029,870,complete
large-frozen-enc-2ep,BigMac01,v1,500,0.1807,1740,complete
large-frozen-enc-2ep,BigMac01,v1,1000,0.1689,1740,complete
large-frozen-enc-2ep,BigMac01,v1,1500,0.1664,1740,complete
large-frozen-enc-2ep,BigMac01,v1,1740,0.16644130301167792,1740,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,500,0.08027,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,1000,0.07597,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,1500,0.07683,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,2000,0.07081,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,2500,0.07658,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,3000,0.06859,3414,complete
turbo-full-pseudo-cont-lr1e5-2ep,BigMac01,v3,3414,0.07081,3414,complete
turbo-full-lr1e5-3ep,BigMac02,v1,500,0.1258,2610,complete
turbo-full-lr1e5-3ep,BigMac02,v1,1000,0.1133,2610,complete
turbo-full-lr1e5-3ep,BigMac02,v1,1500,0.1026,2610,complete
turbo-full-lr1e5-3ep,BigMac02,v1,2000,0.08777,2610,complete
turbo-full-lr1e5-3ep,BigMac02,v1,2500,0.08039,2610,complete
turbo-full-lr1e5-3ep,BigMac02,v1,2610,0.07929,2610,complete
turbo-full-lr3e5-4ep,BigMac02,v2,500,0.1396,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,1000,0.1334,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,1500,0.09662,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,2000,0.08838,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,2500,0.07769,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,3000,0.07462,3480,complete
turbo-full-lr3e5-4ep,BigMac02,v2,3480,0.07302,3480,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,500,0.08826,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,1000,0.07781,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,1500,0.08211,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,2000,0.074,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,2500,0.07314,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,3000,0.0713,3416,complete
turbo-full-v4-lr3e5self-lr1e5-2ep,BigMac02,v1,3416,0.06994,3416,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,500,0.08445,2610,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,1000,0.09047,2610,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,1500,0.07843,2610,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,2000,0.07658,2610,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,2500,0.07572,2610,complete
turbo-full-cont-lr1e5-3ep,BigMac03,v2,2610,0.08052,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,500,0.1261,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,1000,0.1154,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,1500,0.09183,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,2000,0.08076,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,2500,0.08199,2610,complete
turbo-full-lr2e5-3ep,BigMac03,v1,2610,0.07646,2610,complete
turbo-full-lr5e5-4ep,BigMac03,v1,500,0.1803,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,1000,0.1244,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,1500,0.1079,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,2000,0.09428,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,2500,0.08888,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,3000,0.07646,3480,complete
turbo-full-lr5e5-4ep,BigMac03,v1,3480,0.0713,3480,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,500,0.133,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,1000,0.1019,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,1500,0.1146,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,2000,0.07781,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,2500,0.07621,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,3000,0.0713,3414,complete
turbo-full-pseudo-lr2e5-2ep,BigMac04,v3,3414,0.06859,3414,complete
turbo-lora-r64-3ep,BigMac04,v1,500,0.1346,2610,complete
turbo-lora-r64-3ep,BigMac04,v1,1000,0.1105,2610,complete
turbo-lora-r64-3ep,BigMac04,v1,1500,0.09846,2610,complete
turbo-lora-r64-3ep,BigMac04,v1,2000,0.08851,2610,complete
turbo-lora-r64-3ep,BigMac04,v1,2500,0.08433,2610,complete
turbo-lora-r64-3ep,BigMac04,v1,2610,0.08359,2610,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,500,0.2806,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,1000,0.2679,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,1500,0.2283,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,2000,0.2218,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,2500,0.1945,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,3000,0.216,3480,complete
turbo-frozen-lr2e5-4ep,BigMac05,v1,3480,0.1959,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,500,0.1598,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,1000,0.1125,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,1500,0.1002,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,2000,0.1015,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,2500,0.08396,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,3000,0.08199,3480,complete
turbo-full-lr4e5-4ep,BigMac05,v1,3480,0.0847,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,500,0.1171,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,1000,0.09711,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,1500,0.08457,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,2000,0.08027,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,2500,0.07818,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,3000,0.07498,3480,complete
large-full-lr3e5-4ep,SuperMac01,v1,3480,0.07376,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,500,0.1383,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,1000,0.1111,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,1500,0.09441,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,2000,0.09072,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,2500,0.08125,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,3000,0.07818,3480,complete
turbo-full-lr3e5-4ep-seed7,BigMac01,v1,3480,0.074,3480,complete
